fid,ORGANISATI,SUB_BUILDI,BUILDING_N,BUILDING_1,PRIMARY_TH,ALT_THORFA,SECONDARY_,LOCALITY,TOWNLAND,TOWN,COUNTY,POSTCODE,BLPU,UNIQUE_BUI,UPRN,USRN,LOCAL_COUN,X_COR,Y_COR,TEMP_COORD,BUILDING_S,ADDRESS_ST,CLASSIFICA,CREATION_D,COMMENCEME,ARCHIVED_D,ACTION_,UDPRN,POSTTOWN,xlong,ylat
"332",,,,"2",OLD MODEL COURT,,,,WATERSIDE,COLERAINE,LONDONDERRY,BT51 3AR,,"186116153","185534957","610",COLERAINE,"284077","432744",N,BUILT,APPROVED,DO_TERRACE,,,,,"3620943",COLERAINE,647734.927891043,6112240.89782679
"333",,,,"40",CAPTAIN STREET LOWER,,,,WATERSIDE,COLERAINE,LONDONDERRY,BT51 3DT,,"186116821","185535809","7860",COLERAINE,"284239","432439",N,BUILT,APPROVED,DO_TERRACE,,,,,"3621794",COLERAINE,647901.236380271,6111938.32571928
"334",,,,"4",CAPTAIN STREET LOWER,,,,WATERSIDE,COLERAINE,LONDONDERRY,BT51 3DT,,"186117295","185535808","7860",COLERAINE,"284402","432423",N,BUILT,APPROVED,ND_RETAIL,,,,,"3621761",COLERAINE,648064.407345087,6111924.66482421
"335",WATERSIDE DENTAL SURGERY,,,"7",WATERSIDE,,,,WATERSIDE,COLERAINE,LONDONDERRY,BT51 3DP,,"187068473","186000291","15475",COLERAINE,"284472","432432",Y,NONE,REJECTED,ND_OTHER,,,,,"3621666",COLERAINE,648134.253576879,6111934.66369409
"336",,,,"21",OLD MODEL COURT,,,,WATERSIDE,COLERAINE,LONDONDERRY,BT51 3AR,,"186983078","185534974","610",COLERAINE,"284077","432706",N,BUILT,APPROVED,DO_APART,,,,,"3620944",COLERAINE,647735.4718914,6112202.91138311
"337",,FLAT 3,HAZLETT COURT,,CASTLEROCK ROAD,,,,WATERSIDE,COLERAINE,LONDONDERRY,BT51 3HL,,"186850610","185770230","7204",COLERAINE,"284405","432480",N,BUILT,APPROVED,DO_APART,,,,,"3622789",COLERAINE,648066.590298934,6111981.68746615
"338",,FLAT 18,HAZLETT COURT,,CASTLEROCK ROAD,,,,WATERSIDE,COLERAINE,LONDONDERRY,BT51 3HL,,"186850610","185770245","7204",COLERAINE,"284405","432480",N,BUILT,APPROVED,DO_APART,,,,,"3622776",COLERAINE,648066.590298934,6111981.68746615
"339",,FLAT 14,HAZLETT COURT,,CASTLEROCK ROAD,,,,WATERSIDE,COLERAINE,LONDONDERRY,BT51 3HL,,"186850610","185770241","7204",COLERAINE,"284405","432480",N,BUILT,APPROVED,DO_APART,,,,,"3622772",COLERAINE,648066.590298934,6111981.68746615
"340",,FLAT 11,HAZLETT COURT,,CASTLEROCK ROAD,,,,WATERSIDE,COLERAINE,LONDONDERRY,BT51 3HL,,"186850610","185770238","7204",COLERAINE,"284405","432480",N,BUILT,APPROVED,DO_APART,,,,,"3622770",COLERAINE,648066.590298934,6111981.68746615
"341",,FLAT 1,HAZLETT COURT,,CASTLEROCK ROAD,,,,WATERSIDE,COLERAINE,LONDONDERRY,BT51 3HL,,"186850610","185770228","7204",COLERAINE,"284405","432480",N,BUILT,APPROVED,DO_TERRACE,,,,,"3622768",COLERAINE,648066.590298934,6111981.68746615
